"","D3YXH0","E9PUL5","Q9DCJ9","Q91Z25","Q9WV54","P07309","A0A0A6YVP0","Q9JM63","Q8VED5","P97449","E9PWQ3","P17047","Q9EPB4","Q60847","Q922I7","Q99LB4","E9Q616","P01027","G3X8T9","Q05144","Q99L04","P23953","E9Q0H6","P16045","F6WR04","F6TQW2","P98086","Q91X72","P08905","P11438","P43275","P27005","P49935","Q8BTM8","Q9WUU7","P29699","Q61704","O89017","P16110","P07356","P31725","Q99P91","P10107","Q9JKF1","P28665","Q9Z1Q5","P19324","P50543","P97429","Q9Z1T1"
"D3YXH0",1,0.998976153645812,-0.969928805923365,-0.987613966625271,-0.987026759882716,-0.993829292431138,-0.974987028853307,-0.977093348324997,-0.949482062267941,-0.974284974856237,-0.983227899877519,-0.935522162370948,-0.977023039896972,-0.989888430784402,-0.98344631362146,-0.98772123589686,-0.995303087373862,-0.988449096411367,-0.987326684559699,-0.994871229290715,-0.997025700656622,-0.998811062789455,-0.9968075134841,-0.998642447172154,-0.999492400009954,-0.999778002713469,-0.999648352180013,-0.999462047211923,-0.999383459657259,-0.99595889188187,-0.998443425886131,-0.998597607744111,-0.998059642464904,-0.995726795586284,-0.998314422796481,-0.986221911903414,-0.994734379575317,-0.998549699083838,-0.999065884367223,-0.999550167408628,-0.999517977162831,-0.999247524450268,-0.998733472291438,-0.998599977902892,-0.998209577347174,-0.996793996960016,-0.998560606704449,-0.997310627830801,-0.994551088833254,-0.997182106366338
"E9PUL5",0.998976153645812,1,-0.972061823237063,-0.987410646287644,-0.990044251898902,-0.995581434292902,-0.979374047175848,-0.98031027447423,-0.943854134129707,-0.975641817289833,-0.982183788548894,-0.938773627023502,-0.979941470854288,-0.991700866162593,-0.979334777025135,-0.985119829060376,-0.993808109908294,-0.988523024814004,-0.987646088391031,-0.994570399384353,-0.997312477269378,-0.998521862636342,-0.995923832648204,-0.997424277280436,-0.997954583866766,-0.999385922419154,-0.999013520874258,-0.998031953470869,-0.997795285966642,-0.998241410987389,-0.997725010647732,-0.998452699240188,-0.997760271266434,-0.996101867932993,-0.99879216734449,-0.990596258855953,-0.996734335820398,-0.997780254737493,-0.99847581680202,-0.998931552743584,-0.99903561157904,-0.999142000718806,-0.998837360215658,-0.999086267245158,-0.999840602194258,-0.998612567982895,-0.998661730022259,-0.997568978969238,-0.992722190784032,-0.99408495243326
"Q9DCJ9",-0.969928805923365,-0.972061823237063,1,0.982927087847355,0.989384265662205,0.984795652824755,0.958608501186916,0.968674970968216,0.934010014162264,0.955770290979664,0.976725821995032,0.854584633086363,0.909811498688868,0.938119138224368,0.9466353795621,0.956054707132072,0.966343841651193,0.952031197911528,0.951254832947716,0.954972091513563,0.958773091780015,0.961618149864498,0.967078641893602,0.972130028103972,0.968747129670912,0.971811667688271,0.972609972227142,0.9670385549692,0.969646447819197,0.982501318991347,0.976639433125454,0.980057320629005,0.979162536382358,0.982657513813275,0.976707397751739,0.96075142188753,0.957991269768474,0.976263142572955,0.978345074402553,0.975065299738754,0.972268845811174,0.973121827604043,0.964936841808232,0.969269372269405,0.973885544065555,0.972676792470365,0.975287094712327,0.973046151013875,0.977191134228952,0.9606931281666
"Q91Z25",-0.987613966625271,-0.987410646287644,0.982927087847355,1,0.996403417868916,0.993794961828647,0.945100047741556,0.951911312275185,0.920036327903694,0.965826459492512,0.984211786018091,0.908361183249001,0.953435870955873,0.960285326265646,0.986260567965977,0.992630977519853,0.993933005305444,0.986156804304617,0.989149385933712,0.979996204766592,0.986293137232815,0.986547320200384,0.975275730365433,0.982050243119499,0.983625070199171,0.98652137738348,0.986493485399844,0.983765906925051,0.984841380115869,0.988456558955943,0.988513137976332,0.988427801638956,0.986519977694226,0.991172587176909,0.991774593497914,0.969010286840756,0.975832226914389,0.994594847237321,0.991554788923738,0.991438348218786,0.990405970423701,0.991526497552869,0.987321156299022,0.989298449604543,0.988053639759659,0.991979064454965,0.985478709177548,0.983617953805912,0.990983394596993,0.983411808247824
"Q9WV54",-0.987026759882716,-0.990044251898902,0.989384265662205,0.996403417868916,1,0.997220694711446,0.961334603358633,0.966699043668326,0.920288705943579,0.967284951059107,0.98184097863855,0.906807331880314,0.955052713545479,0.965703270450116,0.975012178907396,0.983301245178567,0.988402185317542,0.981124119155987,0.98348985072161,0.97851997194555,0.984980197288428,0.985539988405335,0.978228419020965,0.98348008397985,0.983384153560877,0.987637010058138,0.987506230134748,0.983591550287142,0.984573208355485,0.993929882241144,0.988681313141365,0.99050508226968,0.988629361555663,0.992474218269338,0.992501289723183,0.979770130523075,0.981138192623648,0.992800391748126,0.991823545706877,0.991048182620758,0.990124387886795,0.991439182023914,0.987475057553117,0.990132538133694,0.991623771095225,0.993837302667551,0.988418122147997,0.98707131289013,0.989297485340675,0.979669893716627
"P07309",-0.993829292431138,-0.995581434292902,0.984795652824755,0.993794961828647,0.997220694711446,1,0.971102273783762,0.97662346468255,0.927191479765822,0.962945971926048,0.977682247149673,0.909305109573787,0.964655809645966,0.977430511292236,0.981220336973887,0.986105446910456,0.990126118704501,0.980450361617434,0.98326867675716,0.982683194484399,0.989598437500285,0.992230255578775,0.987535159399528,0.99174925751832,0.991256575237949,0.994651562879503,0.994937646891227,0.992654995754779,0.993331063898611,0.996714211657304,0.992646335022343,0.99562189458529,0.993540453484531,0.993291794745868,0.995150646737343,0.989753458807587,0.991117111636797,0.996505924244431,0.997284052349702,0.996470044057486,0.996284507778984,0.996754298977728,0.994577722260813,0.996358846930388,0.996688174924235,0.996908088624042,0.996039266353227,0.995910699550845,0.99628056814492,0.990228655893909
"A0A0A6YVP0",-0.974987028853307,-0.979374047175848,0.958608501186916,0.945100047741556,0.961334603358633,0.971102273783762,1,0.998100799652747,0.955745112484948,0.959202377517008,0.956880894657942,0.90617113079629,0.949465607451448,0.98132515791236,0.922460141206297,0.93085535689592,0.953164967020948,0.945797918523963,0.938560646047179,0.968448113500255,0.966060822109291,0.969593137396831,0.986980755763105,0.982662137360389,0.978480107140587,0.979037267027638,0.978892875909924,0.976838363925049,0.97668121517427,0.983153727620938,0.976979580101549,0.980942651329376,0.982138423056236,0.974994242675381,0.974042377422015,0.983001479109648,0.980747167944629,0.96679691161441,0.974376997095558,0.972888498764973,0.972490282902742,0.971715040135249,0.971425911275123,0.972195588065299,0.979592596330872,0.970326445657151,0.982028220597693,0.98110404386242,0.963268502893936,0.964677732383262
"Q9JM63",-0.977093348324997,-0.98031027447423,0.968674970968216,0.951911312275185,0.966699043668326,0.97662346468255,0.998100799652747,1,0.955512132599017,0.953344878613542,0.957894640541097,0.887867270887514,0.941804179899881,0.976471699772314,0.929890783391621,0.936211930189622,0.955154385729048,0.943261134341033,0.937974288171259,0.965158041628976,0.964831235193228,0.970122131995788,0.987879695098327,0.985190604057403,0.98033580427973,0.981102024961648,0.981640041736127,0.979532976302487,0.980057377232684,0.984853190170239,0.978672019125592,0.983929282115162,0.984408895965116,0.97685508454479,0.975357108247176,0.984685480184805,0.980885167744909,0.970482166905933,0.978517739419043,0.976137092596063,0.975512339867223,0.974522547680437,0.973078725442043,0.974447946579527,0.98081802541695,0.971705799148913,0.985310129047773,0.985039975829844,0.971391875900351,0.969480776109374
"Q8VED5",-0.949482062267941,-0.943854134129707,0.934010014162264,0.920036327903694,0.920288705943579,0.927191479765822,0.955745112484948,0.955512132599017,1,0.964764523730095,0.965658846232724,0.882697542562359,0.891658080225439,0.936736524064438,0.893805446952997,0.90444972591168,0.935545028431112,0.92743422658791,0.908879354552398,0.951850613881195,0.935821989800324,0.936951225610119,0.965335556007165,0.960319683751384,0.957921976403276,0.94994776706115,0.949732854463467,0.949091200398847,0.950205959436536,0.947524035393746,0.960388386413272,0.955944394124973,0.96166105221659,0.957717385467694,0.948585699662149,0.912203462466254,0.927639648332697,0.940852817948438,0.945680516379502,0.944639382436895,0.940796207745268,0.938965440033134,0.933278410399568,0.932706973315671,0.939909740734484,0.929031845106149,0.947364799985961,0.940375091433554,0.930541801860064,0.937831903290848
"P97449",-0.974284974856237,-0.975641817289833,0.955770290979664,0.965826459492512,0.967284951059107,0.962945971926048,0.959202377517008,0.953344878613542,0.964764523730095,1,0.993593655457517,0.954939389195214,0.950373198574858,0.965227816450728,0.936215081148124,0.953142280056255,0.977251384614214,0.982930805231946,0.970913376614438,0.987302923562885,0.977966236796617,0.97210416732819,0.974792913754149,0.973395470589258,0.975383663908807,0.97366902437502,0.971431269533443,0.968158458596215,0.967875100332007,0.978589135544961,0.983583377363878,0.97700520865342,0.980517256796562,0.98656086671453,0.982321873085195,0.944103425505701,0.959136791053829,0.973555088844629,0.970991169770262,0.972768277400607,0.970263384718643,0.97144545530081,0.967576814033018,0.967774355059445,0.973916082805108,0.972933879240803,0.96814173850336,0.96103074894592,0.952416700299215,0.956282179119926
"E9PWQ3",-0.983227899877519,-0.982183788548894,0.976725821995032,0.984211786018091,0.98184097863855,0.977682247149673,0.956880894657942,0.957894640541097,0.965658846232724,0.993593655457517,1,0.929006670480543,0.94327750990674,0.961065376954099,0.957635996373516,0.970520970087992,0.987349909420066,0.985254766729424,0.97732148338203,0.986924239474642,0.981754730025085,0.978831828861788,0.980243502124797,0.982204532565345,0.983476662104549,0.982197191721908,0.981141227919895,0.977970624017762,0.97883753610609,0.985734064776181,0.991287569823084,0.986719719502164,0.988771441848198,0.994414450254101,0.989735899921838,0.950973235017204,0.96413056898393,0.985764245383906,0.983403234507135,0.983829018130008,0.981036336339266,0.98189222271439,0.976140705158108,0.977279907229951,0.980908163564233,0.980895668097659,0.978454230573112,0.97254610301584,0.972354567139374,0.970648626224243
"P17047",-0.935522162370948,-0.938773627023502,0.854584633086363,0.908361183249001,0.906807331880314,0.909305109573787,0.90617113079629,0.887867270887514,0.882697542562359,0.954939389195214,0.929006670480543,1,0.973470230486651,0.956962021969585,0.909756182467901,0.924367218536243,0.942895903745449,0.964225246902892,0.955263598316612,0.964061589403004,0.956619325027927,0.946392450630476,0.93016746112677,0.926059907372,0.933869445624676,0.933059339296505,0.928801595244798,0.929654994303596,0.925626109533316,0.928033616169939,0.934925997280194,0.925019917902478,0.927726408117509,0.931663886301195,0.93913194511827,0.912355577683551,0.935546719927859,0.929441429745272,0.922719489699326,0.92963377521261,0.931056044889012,0.932578361471945,0.938515933484191,0.934513236750746,0.935930330617929,0.938775747331361,0.92217015974952,0.916751598019305,0.898444164379292,0.920463404349539
"Q9EPB4",-0.977023039896972,-0.979941470854288,0.909811498688868,0.953435870955873,0.955052713545479,0.964655809645966,0.949465607451448,0.941804179899881,0.891658080225439,0.950373198574858,0.94327750990674,0.973470230486651,1,0.990675412718271,0.964514697020055,0.969311904528354,0.97470597007072,0.980283844831755,0.981481901540417,0.983155681985994,0.987320391364536,0.98542949692544,0.970078112848961,0.969705106265747,0.974004849428059,0.976396238296254,0.974602984423803,0.976081023296377,0.973320998204408,0.969541128769601,0.969365124196645,0.968037226947207,0.966769745178695,0.963989744024279,0.974436071962552,0.974795512124348,0.98565812099339,0.972408955057664,0.97037446525786,0.974227216223704,0.976957833796898,0.977418477442093,0.983634634241395,0.981232895984309,0.979229982849421,0.980622193722293,0.972251252954832,0.972295046462093,0.960412200757075,0.973362469082441
"Q60847",-0.989888430784402,-0.991700866162593,0.938119138224368,0.960285326265646,0.965703270450116,0.977430511292236,0.98132515791236,0.976471699772314,0.936736524064438,0.965227816450728,0.961065376954099,0.956962021969585,0.990675412718271,1,0.961463993851122,0.966405092617729,0.978690412111631,0.977735516596275,0.974788304235583,0.990467378423682,0.99102714843662,0.991995233267499,0.991585124689704,0.989338761583921,0.990328686502102,0.99078039193756,0.989842095134095,0.990753309420541,0.98906737258947,0.985698630082326,0.985711768976714,0.986125996837855,0.986143990745043,0.980279072728787,0.986171458590618,0.987939578081645,0.995561040828343,0.982686918337033,0.984853106841696,0.986598134490406,0.988031855909027,0.987537185111459,0.991285128492221,0.989663761180598,0.990732529295139,0.986998149090663,0.989146717715017,0.988705508600089,0.97489580841759,0.985206919643233
"Q922I7",-0.98344631362146,-0.979334777025135,0.9466353795621,0.986260567965977,0.975012178907396,0.981220336973887,0.922460141206297,0.929890783391621,0.893805446952997,0.936215081148124,0.957635996373516,0.909756182467901,0.964514697020055,0.961463993851122,1,0.998146269195552,0.989365965612315,0.979711135103672,0.987357451121499,0.973366307052824,0.983498653210128,0.986057194992919,0.967417404502036,0.975018481904867,0.978820661864519,0.980699397696452,0.981169150192692,0.982486177794337,0.98259109496485,0.971042929966919,0.976279217593073,0.976451405513086,0.973047082574074,0.972646264601585,0.97973491418217,0.963631392338997,0.975236755798527,0.987797347395237,0.98408929184476,0.985374395170718,0.986402675261101,0.986426977877277,0.986566947768644,0.986236015306732,0.978835174231089,0.983622189352645,0.978446613492788,0.979063547474934,0.98891629012729,0.989640653506536
"Q99LB4",-0.98772123589686,-0.985119829060376,0.956054707132072,0.992630977519853,0.983301245178567,0.986105446910456,0.93085535689592,0.936211930189622,0.90444972591168,0.953142280056255,0.970520970087992,0.924367218536243,0.969311904528354,0.966405092617729,0.998146269195552,1,0.995408158995299,0.989090428198823,0.994485189331156,0.981813228529699,0.989768007774019,0.990334405971761,0.972321917807957,0.979233966841743,0.983122104011773,0.985172087921172,0.985069914754321,0.9851929327421,0.985245039512859,0.978990395893479,0.983298670259779,0.982246673609938,0.979641282882903,0.98166802786129,0.987125864922022,0.966409102624917,0.978322759259805,0.992654950520315,0.98826583265205,0.989770324343792,0.990238555419304,0.990808369071999,0.990081911278997,0.990110000371159,0.984738832534477,0.989833763417213,0.982220335034543,0.981541115394617,0.989455954478128,0.989400884803724
"E9Q616",-0.995303087373862,-0.993808109908294,0.966343841651193,0.993933005305444,0.988402185317542,0.990126118704501,0.953164967020948,0.955154385729048,0.935545028431112,0.977251384614214,0.987349909420066,0.942895903745449,0.97470597007072,0.978690412111631,0.989365965612315,0.995408158995299,1,0.996655627844858,0.996564831335664,0.994444021035387,0.997045011552883,0.996141471094875,0.985725438460216,0.98976532052427,0.992793330967791,0.99352985359081,0.992870339828477,0.992150249043489,0.992081832255503,0.990275150233262,0.99476474519681,0.992380432116044,0.991668483145591,0.994028043954262,0.996641456674822,0.972267985758143,0.98482311457753,0.997772655032949,0.994527588877484,0.995998284516046,0.995635457871955,0.996215217821861,0.99474603493398,0.994736111503703,0.992959993362675,0.995532743424254,0.990070277841768,0.987619664127932,0.989756431332667,0.991354941979507
"P01027",-0.988449096411367,-0.988523024814004,0.952031197911528,0.986156804304617,0.981124119155987,0.980450361617434,0.945797918523963,0.943261134341033,0.92743422658791,0.982930805231946,0.985254766729424,0.964225246902892,0.980283844831755,0.977735516596275,0.979711135103672,0.989090428198823,0.996655627844858,1,0.998101343219004,0.995374800387399,0.995894967470272,0.991896414945722,0.977954202274676,0.98090329128396,0.985396332183446,0.986290930220425,0.984622131514324,0.983569376811096,0.982723604331114,0.984298150133164,0.988901832425563,0.984241346692092,0.984256402089923,0.98898880535969,0.99216103253496,0.963551693174054,0.978798075357395,0.990673376167989,0.985577066070814,0.988385744442547,0.988157083591736,0.989373371187735,0.988836473055792,0.9882997327226,0.987450625962034,0.991345229155605,0.980755543697402,0.977136516752314,0.975972049216536,0.980566432291026
"G3X8T9",-0.987326684559699,-0.987646088391031,0.951254832947716,0.989149385933712,0.98348985072161,0.98326867675716,0.938560646047179,0.937974288171259,0.908879354552398,0.970913376614438,0.97732148338203,0.955263598316612,0.981481901540417,0.974788304235583,0.987357451121499,0.994485189331156,0.996564831335664,0.998101343219004,1,0.990538659487852,0.995006869579353,0.992021401559815,0.973430677267185,0.97808003556715,0.982764859535586,0.98508662338691,0.983753940255454,0.98287830232247,0.982089582799731,0.982459112609397,0.985289075182706,0.982078862679072,0.980727833768766,0.985216320274824,0.990255726249058,0.966848060027567,0.980086115488708,0.991148788762268,0.985700012263587,0.988371464204576,0.988756864750989,0.990079508864167,0.990096175290473,0.989822186911036,0.987215054013328,0.992581635901901,0.980390517417397,0.978142255951144,0.979702511075217,0.982363975947673
"Q05144",-0.994871229290715,-0.994570399384353,0.954972091513563,0.979996204766592,0.97851997194555,0.982683194484399,0.968448113500255,0.965158041628976,0.951850613881195,0.987302923562885,0.986924239474642,0.964061589403004,0.983155681985994,0.990467378423682,0.973366307052824,0.981813228529699,0.994444021035387,0.995374800387399,0.990538659487852,1,0.997890419852507,0.995860143278238,0.99165738279668,0.991825483573917,0.99450775320613,0.993880590877836,0.992549073714529,0.992224512093127,0.991322734473485,0.990615186320188,0.995436022843082,0.992005777780358,0.992928996990592,0.993356627158111,0.99571628462296,0.974123374473131,0.987821466268388,0.992591416763639,0.990875391095695,0.992989546261024,0.992758967338468,0.99304343960955,0.993174911094702,0.992180932851274,0.993003990347689,0.992595928619906,0.989619962228825,0.986320741869412,0.979907185666923,0.987211732035553
"Q99L04",-0.997025700656622,-0.997312477269378,0.958773091780015,0.986293137232815,0.984980197288428,0.989598437500285,0.966060822109291,0.964831235193228,0.935821989800324,0.977966236796617,0.981754730025085,0.956619325027927,0.987320391364536,0.99102714843662,0.983498653210128,0.989768007774019,0.997045011552883,0.995894967470272,0.995006869579353,0.997890419852507,1,0.999153430262285,0.990652848388937,0.992490874779559,0.995127931090879,0.996158649429694,0.995198906548186,0.994899026090398,0.994085255044109,0.992764085389709,0.995097382398281,0.993472714296726,0.992947761751888,0.993007833205997,0.997191424392855,0.982167004270887,0.993051519067707,0.996343876405198,0.994542541039317,0.99638261459104,0.996782754968513,0.997191072552732,0.997847303150831,0.997247237108025,0.996540655490754,0.997450250710808,0.993055793666369,0.991264029715512,0.987264663923743,0.992119197704072
"P23953",-0.998811062789455,-0.998521862636342,0.961618149864498,0.986547320200384,0.985539988405335,0.992230255578775,0.969593137396831,0.970122131995788,0.936951225610119,0.97210416732819,0.978831828861788,0.946392450630476,0.98542949692544,0.991995233267499,0.986057194992919,0.990334405971761,0.996141471094875,0.991896414945722,0.992021401559815,0.995860143278238,0.999153430262285,1,0.993339350237622,0.995372251702981,0.997255815076347,0.998263164774842,0.997786995377663,0.997873262252335,0.997283977904773,0.99381573234011,0.995790595919686,0.995523455668542,0.994582811682383,0.992815872034769,0.997264280403804,0.986588095750511,0.995856611988027,0.997599192146163,0.996997493213637,0.998263514989432,0.998823468385501,0.998839880813259,0.999583672141411,0.99907189808685,0.997859989816135,0.997833226452135,0.99627804777509,0.995327662155627,0.991978899397951,0.996143585602015
"E9Q0H6",-0.9968075134841,-0.995923832648204,0.967078641893602,0.975275730365433,0.978228419020965,0.987535159399528,0.986980755763105,0.987879695098327,0.965335556007165,0.974792913754149,0.980243502124797,0.93016746112677,0.970078112848961,0.991585124689704,0.967417404502036,0.972321917807957,0.985725438460216,0.977954202274676,0.973430677267185,0.99165738279668,0.990652848388937,0.993339350237622,1,0.999306289118587,0.998617349031655,0.997615930104513,0.997582125472714,0.99750105223007,0.997427600877345,0.994177099220468,0.996622311518512,0.997300260771426,0.997869103345303,0.992989038102428,0.994013075328894,0.985482394709254,0.992792297530973,0.991963335959337,0.995038064977172,0.994952899057624,0.994616604783471,0.993770661583632,0.993284930904968,0.992962629665186,0.994780273239674,0.989880581194799,0.997227948156876,0.995685709688264,0.988140914443305,0.992459295744395
"P16045",-0.998642447172154,-0.997424277280436,0.972130028103972,0.982050243119499,0.98348008397985,0.99174925751832,0.982662137360389,0.985190604057403,0.960319683751384,0.973395470589258,0.982204532565345,0.926059907372,0.969705106265747,0.989338761583921,0.975018481904867,0.979233966841743,0.98976532052427,0.98090329128396,0.97808003556715,0.991825483573917,0.992490874779559,0.995372251702981,0.999306289118587,1,0.999579022754005,0.999116278392039,0.999256602073633,0.999025011741007,0.999192822381279,0.995704089938151,0.998041886790968,0.998944568388587,0.998933764387664,0.994934270613171,0.996170060602,0.986340579486732,0.993462969273894,0.995555019992306,0.997897832549731,0.997690886565377,0.997337295483766,0.996649387948637,0.995676043704796,0.995667738846266,0.996531707119556,0.992877383075586,0.998857716827445,0.997566627846958,0.992983538606275,0.995446194002902
